"Parts List, made on Mouser Electronics",,,,,,,,
Some Components may be different to the original ElectroSmash list as their components list contains discontinued parts. ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PEDALPI,,,,,,,,
Mouser No,Mfr. No,Manufacturer,Description ,RoHS,Lifecycle,Order Qty.,Price (GBP),Ext.: (GBP)
581-SR211C682MARTR1,SR211C682MARTR1,Kyocera AVX,Multilayer Ceramic Capacitors MLCC - Leaded 100V 6800 pF X7R 20% RoHS Long Leads,,,5,£0.439,£2.20
581-SR211C104KARTR1,SR211C104KARTR1,Kyocera AVX,Multilayer Ceramic Capacitors MLCC - Leaded 100V 0.1uF X7R RoHS Long Leads 10%,,,3,£0.271,£0.81
594-K271J15C0GF5TL2,K271J15C0GF5TL2,Vishay,Multilayer Ceramic Capacitors MLCC - Leaded 270pF 50V 5% C0G 2.5mm LS,RoHS Compliant,,1,£0.28,£0.28
667-ECE-A1EKA4R7,ECE-A1EKA4R7,Panasonic,Aluminium Electrolytic Capacitors - Radial Leaded 4.7UF 25V MINI ALUM ELECT (KA),RoHS Compliant,,3,£0.271,£0.81
75-515D227M016BB6AE3,515D227M016BB6AE3,Vishay,Aluminium Electrolytic Capacitors - Radial Leaded 220uF 16volts 20%,RoHS Compliant,,4,£0.591,£2.36
594-HVR2500001004FR5,HVR2500001004FR500,Vishay,Metal Film Resistors - Through Hole 1/4watt 1Mohms 1%,RoHS Compliant,,2,£0.344,£0.69
71-CMF50-F-4.7K/R,CMF504K7000FKR6,Vishay,Metal Film Resistors - Through Hole 1/4watt 4.7Kohms 1%,No,,6,£0.591,£3.55
71-CCF55100KFKE36,CCF55100KFKE36,Vishay,Metal Film Resistors - Through Hole 1/4watt 100Kohms 1% Rated to 1/2watt,RoHS Compliant,,2,£0.168,£0.34
603-MFR-25FRF52-300K,MFR-25FRF52-300K,YAGEO,Metal Film Resistors - Through Hole 300K OHM 1/4W 1%,RoHS Compliant,,1,£0.096,£0.10
603-MFR-25FRF5249K9,MFR-25FRF52-49K9,YAGEO,Metal Film Resistors - Through Hole 49.9K OHM 1% 1/4 WATT,RoHS Compliant,,1,£0.096,£0.10
603-MFR-25FRF52-300R,MFR-25FRF52-300R,YAGEO,Metal Film Resistors - Through Hole 300 OHM 1/4W 1%,RoHS Compliant,,2,£0.096,£0.19
531-PTC10V-500K,PTC10LV10-504A2020,Amphenol,Trimmer Resistors - Through Hole 500Kohms 10mm Rnd,RoHS Compliant By Exemption,,1,£1.41,£1.41
593-LTH3MM12VFR4600,LTH3MM12VFR4600,VCC,Standard LEDs - Through Hole 3mm Thru Hole LED 467nm for 12VDC,RoHS Compliant,,1,£0.974,£0.97
579-MCP6002-I/P,MCP6002-I/P,Microchip,Operational Amplifiers - Op Amps Dual 1.8V 1MHz,RoHS Compliant,,1,£0.375,£0.38
579-MCP3202-CI/P,MCP3202-CI/P,Microchip,Analog to Digital Converters - ADC 12-bit SPI Dual Chl,RoHS Compliant,,1,£2.90,£2.90
571-1-2199298-2,1-2199298-2,TE Connectivity,IC & Component Sockets 8P DIP SKT 300 CL LADDER,Not Applicable,,2,£0.437,£0.87
107-SF17020F-32-21RL,SF17020F-0302-21R-L-015,Alpha (Taiwan),Pushbutton Switches 3PDT STOMP/FOOT SW LATCHING 1A9VDC 9PIN,RoHS Compliant,,1,£6.54,£6.54
612-100-A1111,100SP1T1B1M1QEH,E-Switch,Toggle Switches SPDT ON-ON Panel MNT,RoHS Compliant,,1,£2.07,£2.07
633-FB15ANEP2-FA,FB15ANEP2-FA,NKK Switches,Pushbutton Switches SPST OFF-(ON) 500mA .201 BLK CAP TUR/PC,RoHS Compliant By Exemption,,2,£3.14,£6.28
550-22302,NMJ6HCD2,Neutrik,Phone Connectors STEREO CHROME NOSE,RoHS Compliant,,2,£1.39,£2.78
855-M20-7831046,M20-7831046,Harwin,Headers & Wire Housings 10+10 DIL VERTICAL SOCKET TIN,RoHS Compliant,,2,£1.76,£3.52